module                                 LUT      FF    DSP   BRAM
--------------------------------------------------------------------------
adar7251_ppi_rx                         21      91      0      0
cfar_streaming_axi_verilog          432080  702010      3      0
cplx_cell_cache_top                     93     214      0      0
doppler_seq_3rx                         85     357      0      0
iq_delay_align                          49      72      0      0
iq_demux_1to3                            4      99      0      0
noncoh_integrator                      183     106      6      0
ppi_to_tdm_bridge                        6     153      0      0
radar_dump_axi_regs                     35     147      0      0
radar_frame_dump_streamer               95     162      0      0
radar_test_RX_3_axi_quad_spi_0_0       457     668      0      0
radar_test_RX_3_axi_smc_0            24464   29871      0      0
radar_test_RX_3_axi_uartlite_0_0       104     114      0      0
radar_test_RX_3_clk_wiz_1_0              1       0      0      0
radar_test_RX_3_dlmb_bram_if_cntlr_0       4       2      0      0
radar_test_RX_3_dlmb_v10_0               0       1      0      0
radar_test_RX_3_fifo_generator_0_0      47      55      0      1
radar_test_RX_3_fir_compiler_0_0       123     231      3      1
radar_test_RX_3_fir_compiler_1_0       136     189      1      0
radar_test_RX_3_ilmb_bram_if_cntlr_0       4       2      0      0
radar_test_RX_3_ilmb_v10_0               0       1      0      0
radar_test_RX_3_lmb_bram_0              10      12      0      4
radar_test_RX_3_mdm_1_0                 94     111      0      0
radar_test_RX_3_microblaze_0_0        1159     955      0      0
radar_test_RX_3_mig_7series_0_0       5228    4105      0      0
radar_test_RX_3_proc_sys_reset_0_0      19      40      0      0
radar_test_RX_3_proc_sys_reset_1_0      19      40      0      0
radar_test_RX_3_util_vector_logic_0_0       1       0      0      0
radar_test_RX_3_util_vector_logic_1_0       1       0      0      0
radar_test_RX_3_util_vector_logic_2_0       1       0      0      0
radar_test_RX_3_util_vector_logic_3_0       1       0      0      0
radar_test_RX_3_util_vector_logic_4_0       1       0      0      0
radar_test_RX_3_util_vector_logic_5_0       1       0      0      0
radar_test_RX_3_util_vector_logic_6_0       1       0      0      0
radar_test_RX_3_xfft_1_0               628    1154      3      0
radar_test_RX_3_xfft_2_0               628    1154      3      0
radar_test_RX_3_xfft_3_0               628    1154      3      0
radar_test_RX_3_xfft_5_0               660    1189      3      0
radar_test_RX_3_xfft_6_0               660    1189      3      0
radar_test_RX_3_xfft_7_0               660    1189      3      0
radar_test_RX_3_xlconstant_0_0           0       0      0      0
radar_test_RX_3_xlconstant_1_0           0       0      0      0
radar_test_RX_3_xlconstant_2_0           0       0      0      0
radar_test_RX_3_xlconstant_3_0           0       0      0      0
radar_test_RX_3_xlslice_0_0              0       0      0      0
radar_udp_packetizer                   176     222      0      0
rd_map_collector_summed                 35      68      0      0
scatter_write_3rx                      142     390      0      0
tdm_mux_3to1                            18      21      0      0
--------------------------------------------------------------------------
TOTAL (sum of OOC)                  468762  747538     31      6
